 Nº_boletim;data_hora_boletim;  seq_veic; cod_categ; descricao_categoria; cod_especie;  descricao_especie; cod_situacao; desc_situacao; tipo_socorro; desc_tipo_socorro
2021-035009658-001;20/07/2021 09:00;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-035010693-001;21/07/2021 15:03;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-035010693-001;21/07/2021 15:03;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035013013-001;21/07/2021 16:04;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;2;PARADO         ;3;AMBULANCIA          
2021-035013013-001;21/07/2021 16:04;2;3;PARTICULAR                    ;13;CAMINHAO                      ;2;PARADO         ;6;NÃO SE APLICA       
2021-035013013-001;21/07/2021 16:04;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035018003-001;21/07/2021 16:22;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035018003-001;21/07/2021 16:22;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-035020015-001;21/07/2021 16:04;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;3;AMBULANCIA          
2021-035020015-001;21/07/2021 16:04;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;5;DISPENSOU ATENDIMEN 
2021-035020015-001;21/07/2021 16:04;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035023701-001;20/07/2021 17:00;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;1;VEICULO ENVOLVIDO   
2021-035023701-001;20/07/2021 17:00;2;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035033488-001;21/07/2021 13:30;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-035033488-001;21/07/2021 13:30;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035044870-001;21/07/2021 17:48;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-035044870-001;21/07/2021 17:48;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035046775-001;21/07/2021 18:00;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;3;AMBULANCIA          
2021-035046775-001;21/07/2021 18:00;3;3;PARTICULAR                    ;13;CAMINHAO                      ;2;PARADO         ;6;NÃO SE APLICA       
2021-035048943-001;21/07/2021 18:35;1;4;ALUGUEL                       ;8;ONIBUS                        ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035048943-001;21/07/2021 18:35;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-035056216-001;16/07/2021 10:45;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-035056216-001;16/07/2021 10:45;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035057158-001;21/07/2021 19:28;1;4;ALUGUEL                       ;19;CAMINHAO-TRATOR               ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035060361-001;21/07/2021 18:59;1;3;PARTICULAR                    ;12;CAMIONETA                     ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-035060361-001;21/07/2021 18:59;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035060634-001;21/07/2021 01:30;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;4;TERCEIROS           
